fill	x	y	clickSelects	group	xmin	xmax	ymin	ymax
#AAAAAA	80	0	80 0	804	79.5	80.5	-0.5	0.5
#E0E0E0	81	1	81 1	811	80.5	81.5	0.5	1.5
#FCFCFC	82	2	82 2	817	81.5	82.5	1.5	2.5
#A3A3A3	81	0	81 0	810	80.5	81.5	-0.5	0.5
#E3E3E3	82	1	82 1	816	81.5	82.5	0.5	1.5
#FCFCFC	83	2	83 2	821	82.5	83.5	1.5	2.5
#BBBBBB	82	0	82 0	815	81.5	82.5	-0.5	0.5
#D2D2D2	83	1	83 1	820	82.5	83.5	0.5	1.5
#BCBCBC	83	0	83 0	819	82.5	83.5	-0.5	0.5
#E0E0E0	84	1	84 1	823	83.5	84.5	0.5	1.5
#C3C3C3	84	0	84 0	822	83.5	84.5	-0.5	0.5
#BFBFBF	85	0	85 0	824	84.5	85.5	-0.5	0.5
#FEFEFE	58	4	58 4	554	57.5	58.5	3.5	4.5
